key1,value1,key2,label,rank,rank_point,rank_line,rank_polygon
shop,e-cigarette,, Cigarette Électronique,0.4,,,
shop,electronics,, Électroniques,0.4,,,
shop,electrical,, Appareils Électriques,0.4,,,
shop,erotic,, Sex shop,0.4,,,
shop,fabric,, Tissus,0.4,,,
shop,farm,, Agricoles,0.4,,,
shop,fashion_accessories,, Accessoires de mode,0.4,,,
shop,fashion,, Mode,0.4,,,
shop,fish,, Poissonnerie,0.4,,,
shop,fishing,, Pêche,0.4,,,
shop,florist,, Fleuriste,0.4,,,
shop,food,, Alimentation,0.4,,,
shop,frame,, Encadrement,0.4,,,
shop,frozen_food,, Surgelés,0.4,,,
shop,funeral_directors,, Pompes funèbres,0.4,,,
shop,furniture,, Meubles,0.4,,,
shop,gallery,, Galerie,0.4,,,
shop,games,, Jeux de société,0.4,,,
shop,garden_centre,, Jardinerie,0.4,,,
shop,general,, Généraliste,0.4,,,
shop,gift,, Cadeaux,0.4,,,
shop,greengrocer,, Marchand de fruits et légumes,0.4,,,
shop,grocery,, Épicerie,0.4,,,
shop,hairdresser,, Coiffeur,0.4,,,
shop,hardware,, Quincaillerie,0.4,,,
shop,hearing_aids,, Audioprothésiste,0.4,,,
shop,hifi,, Hi-Fi,0.4,,,
shop,household_linen,, Linge de maison,0.4,,,
shop,houseware,, Articles ménagers,0.4,,,
shop,ice_cream,, Glacier,0.4,,,
shop,insurance,, Assurance,0.4,,,
shop,interior_decoration,, Décoration,0.4,,,
shop,jewelry,, Bijouterie,0.4,,,
shop,kitchen,, Cuisine,0.4,,,
shop,laundry,, Blanchisserie,0.4,,,
shop,leather,, Maroquinerie,0.4,,,
shop,locksmith,, Serrurier,0.4,,,
shop,massage,, Salon de massage,0.4,,,
shop,medical_supply,, Fournitures médicales,0.4,,,
shop,mobile_phone,, Téléphones mobiles,0.4,,,
shop,motorcycle,, Motos,0.4,,,
shop,music,, Musique / Disquaire,0.4,,,
shop,musical_instrument,, Instruments de musique,0.4,,,
shop,newsagent,, Marchand de journaux,0.4,,,
shop,nutrition_supplements,, Suppléments alimentaires,0.4,,,
shop,optician,, Opticien,0.4,,,
shop,organic,, Alimentation bio,0.4,,,
shop,outdoor,, Activité en plein air,0.4,,,
shop,paint,, Peinture,0.4,,,
shop,party,, Déguisements/Accessoires fêtes,0.4,,,
shop,pastry,, Patisserie,0.4,,,
shop,perfumery,, Parfumerie,0.4,,,
shop,pet,, Animalerie,0.4,,,
shop,pet_grooming,, Toilettage animal,0.4,,,
shop,pharmacy,, Pharmacie,0.4,,,
shop,photo,, Photographie,0.4,,,
shop,seafood,, Poissonnerie,0.4,,,
shop,second_hand,, Occasion,0.4,,,
shop,sewing,, Mercerie,0.4,,,
shop,shoes,, Chaussures,0.4,,,
shop,sports,, Sport,0.4,,,
shop,stationery,, Papeterie,0.4,,,
shop,storage_rental,, Location d'espace de stockage,0.4,,,
shop,swimming_pool,, Vente de piscine,0.4,,,
shop,tailor,, Tailleur,0.4,,,
shop,tattoo,, Salon de tatouage,0.4,,,
shop,tea,, Thé,0.4,,,
shop,tobacco,, Bureau de tabac,0.4,,,
shop,toys,, Jouets,0.4,,,
shop,trade,, Grossiste,0.4,,,
shop,travel_agency,, Agence de voyage,0.4,,,
shop,tyres,, Pneus,0.4,,,
shop,watches,, Horlogerie,0.4,,,
shop,variety_store,, Prix unique / Bazar,0.4,,,
shop,video,, Vidéos,0.4,,,
shop,video_games,, Jeux vidéo,0.4,,,
shop,wine,, Alcool / Caviste,0.4,,,
tourism,camp_site,, Camping,0.4,,,
tourism,caravan_site,, Site pour caravanes,0.4,,,
tourism,hostel,, Auberge,0.4,,,
tourism,viewpoint,, Point de vue,0.4,,,
waterway,boatyard,, Chantier naval,0.4,,,
waterway,dam,, Barrage,0.4,,,
waterway,dock,, Dock,0.4,,,
waterway,lock,, Écluse,0.4,,,
waterway,lock_gate,, Porte d'écluse,0.4,,,
waterway,river,, Rivière,0.4,,,
waterway,waterfall,, Chute d'eau,0.4,,,
waterway,weir,, Barrage,0.4,,,
amenity,office,, Bureau,0.3,,,
amenity,parking,, Parking,0.3,,,
amenity,taxi,, Taxi,0.3,,,
bridge,aqueduct,, Aqueduc,0.3,,,
bridge,suspension,, Pont suspendu,0.3,,,
bridge,swing,, Pont tournant,0.3,,,
bridge,viaduct,, Viaduc,0.3,,,
bridge,yes,, Pont,0.3,,,
emergency,landing_site,, Terrain d'atterrissage d'urgence,0.3,,,
highway,abandoned,name, Voie ferrée abandonnée,0.3,,,
highway,bridleway,name, Chemin pour cavaliers,0.3,,,
highway,bus_guideway,name, Voie de bus guidé / Trolley,0.3,,,
highway,construction,name, Route en construction,0.3,,,
